Страна,Всего,Женщины,Процент,Процент женщин в науке,Год,Новые данные
ЮАР,423,101,24,"0,20",2017,
Мексика,2499,587,23,"0,33",2015,
Япония,2101,361,17,"0,15",2013,
Канада,2108,346,16,"0,23",2011,
Бразилия,506,64,13,"0,50",2010,
Швеция,624,78,13,"0,48",2018,
США,2252,294,13,"0,24",2015,
Германия,1534,152,10,"0,33",2018,
Австралия,479,46,10,"0,43",2014,
Новая Зеландия,446,39,9,"0,52",2001,
Франция,485,38,8,"0,40",2018,
Россия,1921,130,7,"0,40",2017,
Великобритания,1419,92,6,"0,41",2018,
Индия,864,52,6,"0,15",2010,
Китай,741,42,6,"0,38",2015,
Италия,530,28,5,"0,34",2018,
Венгрия,776,39,5,"0,30",2018,